base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/libs	libcurl/7.45.0	libcurl	7.45.0	2022-03-22_17:40:28	798	1	1	1
/sw/libs	libcurl/7.85.0	libcurl	7.85.0	2022-09-19_14:37:52	617	1	1	1
/sw/libs	libcurl/8.4.0	libcurl	8.4.0	2023-10-13_13:59:02	228	1	1	1
/sw/libs	libdeflate/1.19	libdeflate	1.19	2023-09-18_10:45:19	253	1	1	1
/sw/libs	libgeotiff/1.4.1	libgeotiff	1.4.1	2019-06-12_15:00:47	1812	0	1	1
/sw/libs	libgeotiff/1.4.3	libgeotiff	1.4.3	2019-09-13_17:06:45	1719	0	1	1
/sw/libs	libgeotiff/1.7.1	libgeotiff	1.7.1	2023-02-13_15:01:21	470	1	1	1
/sw/libs	libharu/2.3.0	libharu	2.3.0	2018-09-25_14:28:16	2072	0	0	1
/sw/libs	libicu/5.2-4	libicu	5.2-4	2022-03-31_12:48:42	789	1	1	1
/sw/libs	liblzma/5.2.2	liblzma	5.2.2	2016-03-29_20:55:02	2982	0	0	1
/sw/libs	librdf/1.0.17	librdf	1.0.17	2023-05-28_20:44:00	366	1	1	1
/sw/libs	librsvg/2.48.4	librsvg	2.48.4	2020-05-08_10:12:20	1481	0	1	1
/sw/libs	libSBML/5.19.0	libSBML	5.19.0	2023-05-28_22:50:29	366	1	1	1
/sw/libs	libSBML/5.20.0	libSBML	5.20.0	2023-04-17_14:08:44	407	1	1	1
/sw/libs	libSBML/5.20.2	libSBML	5.20.2	2023-10-01_20:32:00	240	1	1	1
/sw/libs	libsodium/1.0.18-stable	libsodium	1.0.18-stable	2021-03-08_12:53:34	1177	0	1	1
/sw/libs	libtiff/4.5.0	libtiff	4.5.0	2023-01-10_12:06:34	504	1	1	1
/sw/libs	libwebp/1.0.3	libwebp	1.0.3	2023-02-10_16:01:58	473	1	1	1
/sw/libs	libwebp/1.2.0	libwebp	1.2.0	2021-03-05_12:55:43	1180	0	1	1
/sw/libs	libwebp/1.3.0	libwebp	1.3.0	2023-02-10_15:58:53	473	1	1	1
/sw/libs	libzmq/4.3.4	libzmq	4.3.4	2021-03-08_12:23:50	1177	0	1	1
/sw/libs	lpsolve/5.5.2.9	lpsolve	5.5.2.9	2020-12-15_15:50:17	1260	0	1	1
/sw/libs	lz4/1.9.2	lz4	1.9.2	2023-05-28_13:31:41	366	1	1	1
/sw/libs	lzo/2.10	lzo	2.10	2020-10-19_10:51:16	1317	0	1	1
/sw/libs	Magics/3.3.1	Magics	3.3.1	2019-10-04_16:44:23	1698	0	1	1
/sw/libs	Magics/3.3.1-intel18.3	Magics	3.3.1-intel18.3	2019-09-16_14:53:51	1716	0	1	1
/sw/libs	mkl/10.1.0.015	mkl	10.1.0.015	2008-11-12_11:25:21	5676	0	0	0
/sw/libs	mkl/composer_xe_2013_sp1	mkl	composer_xe_2013_sp1	2013-12-06_13:08:08	3826	0	0	0
/sw/libs	mkl/composer_xe_2013_sp1.1.106	mkl	composer_xe_2013_sp1.1.106	2013-10-11_11:12:48	3882	0	0	0
/sw/libs	mkl/composerxe	mkl	composerxe	2013-12-06_13:08:08	3826	0	0	0
/sw/libs	mkl/mkl	mkl	mkl	2013-10-11_11:12:48	3882	0	0	0
/sw/libs	MPC/1.2.1	MPC	1.2.1	2021-05-28_14:40:52	1096	0	1	1
/sw/libs	MPFR/4.1.0	MPFR	4.1.0	2021-01-18_14:03:15	1226	0	1	1
/sw/libs	MPFR/4.2.1	MPFR	4.2.1	2023-09-30_21:05:28	241	1	1	1
/sw/libs	netcdf/4.7.1	netcdf	4.7.1	2019-09-09_12:55:44	1723	0	1	1
/sw/libs	netcdf/4.7.1-intel18.3	netcdf	4.7.1-intel18.3	2019-09-09_14:07:54	1723	0	1	1
/sw/libs	netcdf/4.9.2	netcdf	4.9.2	2023-04-17_15:07:30	407	1	1	1
/sw/libs	NLopt/2.6.1	NLopt	2.6.1	2020-02-25_13:48:46	1554	0	1	1
/sw/libs	openblas/0.2.14a	openblas	0.2.14a	2020-09-23_11:19:53	1343	0	1	1
/sw/libs	openblas/0.2.19	openblas	0.2.19	2020-09-23_10:23:01	1343	0	1	1
/sw/libs	openblas/0.2.19-singlethread	openblas	0.2.19-singlethread	2019-09-17_18:09:02	1715	0	1	1
/sw/libs	openblas/0.2.20	openblas	0.2.20	2020-03-31_16:41:23	1519	0	1	1
/sw/libs	openblas/0.2.20-openmp	openblas	0.2.20-openmp	2021-05-11_13:36:33	1113	0	1	1
/sw/libs	openblas/0.2.20-singlethread	openblas	0.2.20-singlethread	2020-09-23_11:11:54	1343	0	1	1
/sw/libs	openblas/0.3.15	openblas	0.3.15	2021-05-11_14:47:50	1113	0	1	1
/sw/libs	openblas/0.3.15-openmp	openblas	0.3.15-openmp	2021-05-11_14:20:24	1113	0	1	1
/sw/libs	openblas/0.3.15-singlethread	openblas	0.3.15-singlethread	2021-05-11_14:30:08	1113	0	1	1
/sw/libs	openblas/0.3.21	openblas	0.3.21	2024-02-29_14:19:39	89	1	1	1
/sw/libs	openblas/0.3.26	openblas	0.3.26	2024-02-06_14:42:51	112	1	1	1
/sw/libs	OpenJPEG/2.3.0	OpenJPEG	2.3.0	2023-02-10_17:09:34	473	1	1	1
/sw/libs	OpenJPEG/2.5.0	OpenJPEG	2.5.0	2023-02-10_17:16:30	473	1	1	1
/sw/libs	pcre/8.38	pcre	8.38	2017-06-01_11:04:41	2553	0	0	1
/sw/libs	pcre/8.40	pcre	8.40	2022-03-22_17:37:35	798	1	1	1
/sw/libs	pcre2/10.42	pcre2	10.42	2023-09-25_13:13:37	246	1	1	1
/sw/libs	PLplot/5.15.0	PLplot	5.15.0	2019-12-05_17:27:59	1636	0	1	1
/sw/libs	PLplot/5.15.0-old_wxWidgets	PLplot	5.15.0-old_wxWidgets	2019-12-09_18:25:15	1632	0	1	1
/sw/libs	plumed/2.6.0	plumed	2.6.0	2020-05-12_12:07:17	1477	0	1	1
/sw/libs	plumed/2.7.1-gcc	plumed	2.7.1-gcc	2021-07-06_14:10:52	1057	1	1	1
/sw/libs	Poppler/0.43.0	Poppler	0.43.0	2023-02-21_09:42:56	462	1	1	1
/sw/libs	Poppler/0.54.0	Poppler	0.54.0	2019-03-26_16:36:10	1890	0	0	1
/sw/libs	Poppler/0.75.0	Poppler	0.75.0	2019-03-27_13:43:42	1889	0	0	1
/sw/libs	Poppler/23.02.0	Poppler	23.02.0	2023-02-16_17:15:06	467	1	1	1
/sw/libs	Poppler/23.09.0	Poppler	23.09.0	2023-09-28_15:19:50	243	1	1	1
/sw/libs	PROJ.4/4.9.2	PROJ.4	4.9.2	2019-09-05_16:44:58	1727	0	1	1
/sw/libs	PROJ.4/4.9.3	PROJ.4	4.9.3	2019-09-13_14:00:32	1719	0	1	1
/sw/libs	PROJ.4/4.9.3-intel18.3	PROJ.4	4.9.3-intel18.3	2019-09-13_14:58:18	1719	0	1	1
/sw/libs	PROJ/6.3.2	PROJ	6.3.2	2023-01-10_16:18:52	504	1	1	1
/sw/libs	PROJ/8.1.0	PROJ	8.1.0	2022-01-28_12:41:10	851	1	1	1
/sw/libs	PROJ/9.1.1	PROJ	9.1.1	2023-05-28_18:02:19	366	1	1	1
/sw/libs	protobuf/21.12-gcc10.3.0	protobuf	21.12-gcc10.3.0	2023-02-09_13:01:21	474	1	1	1
/sw/libs	protobuf/24.3-gcc12.3.0	protobuf	24.3-gcc12.3.0	2023-09-25_17:26:36	246	1	1	1
/sw/libs	protobuf/3.11.4	protobuf	3.11.4	2020-04-29_11:18:12	1490	0	1	1
/sw/libs	protobuf/3.15.5	protobuf	3.15.5	2021-03-09_10:13:27	1176	0	1	1
/sw/libs	protobuf/3.15.5-gcc9.3.0	protobuf	3.15.5-gcc9.3.0	2021-03-09_10:34:02	1176	0	1	1
/sw/libs	pslib/0.4.6	pslib	0.4.6	2019-12-10_12:05:08	1631	0	1	1
/sw/libs	Qhull/2019.1	Qhull	2019.1	2023-02-13_16:58:54	470	1	1	1
/sw/libs	Qhull/2020.2	Qhull	2020.2	2023-02-13_17:01:06	470	1	1	1
/sw/libs	readline/6.2-11	readline	6.2-11	2024-02-07_10:30:26	111	1	1	1
/sw/libs	scalapack/2.0.2	scalapack	2.0.2	2014-01-08_11:34:15	3793	0	0	0
/sw/libs	scalapack/2.0.2_tintin_pgi13_openmpi1.4	scalapack	2.0.2_tintin_pgi13_openmpi1.4	2014-01-08_14:18:01	3793	0	0	0
/sw/libs	scalapack/2.0.2_tintin_pgi13_openmpi1.6	scalapack	2.0.2_tintin_pgi13_openmpi1.6	2014-01-08_11:34:15	3793	0	0	0
/sw/libs	scalapack/2.0.2_tintin_pgi13_openmpi1.7	scalapack	2.0.2_tintin_pgi13_openmpi1.7	2014-01-08_14:26:29	3793	0	0	0
/sw/libs	scalapack/BLACS	scalapack	BLACS	2007-02-01_15:22:26	6326	0	0	0
/sw/libs	scalapack/kalkyl-scalapack-1.8.0-intel-mkl-openmpi-1.4.2	scalapack	kalkyl-scalapack-1.8.0-intel-mkl-openmpi-1.4.2	2010-08-19_10:36:59	5031	0	0	0
/sw/libs	scalapack/kalkyl-scalapack-1.8.0-pgi-acml-openmpi-1.4.2	scalapack	kalkyl-scalapack-1.8.0-pgi-acml-openmpi-1.4.2	2010-08-19_11:31:12	5031	0	0	0
/sw/libs	scalapack/openmpi	scalapack	openmpi	2008-11-24_14:01:18	5664	0	0	0
/sw/libs	scalapack/scalapack-1.7.5	scalapack	scalapack-1.7.5	2007-02-01_15:47:56	6326	0	0	0
/sw/libs	SDSL/2.1.1	SDSL	2.1.1	2022-03-30_16:04:03	790	1	1	1
/sw/libs	SHAPELIB/1.5.0	SHAPELIB	1.5.0	2023-02-16_16:28:24	467	1	1	1
/sw/libs	SHAPELIB/1.5.0-20220210-8edf888	SHAPELIB	1.5.0-20220210-8edf888	2023-02-16_16:12:54	467	1	1	1
/sw/libs	slurm-drmaa/1.0.4	slurm-drmaa	1.0.4	2022-01-31_15:53:07	848	1	1	1
/sw/libs	slurm-drmaa/1.0.5	slurm-drmaa	1.0.5	2022-01-31_15:53:19	848	1	1	1
/sw/libs	slurm-drmaa/1.0.6	slurm-drmaa	1.0.6	2022-01-31_15:53:34	848	1	1	1
/sw/libs	slurm-drmaa/1.0.7	slurm-drmaa	1.0.7	2022-01-31_15:54:38	848	1	1	1
/sw/libs	slurm-drmaa/1.1.2-slurm19.05.8	slurm-drmaa	1.1.2-slurm19.05.8	2021-04-20_15:45:55	1134	0	1	1
/sw/libs	slurm-drmaa/1.1.3-slurm19.05.8	slurm-drmaa	1.1.3-slurm19.05.8	2022-01-31_15:39:42	848	1	1	1
/sw/libs	slurm-drmaa/1.1.3-slurm21.08.2	slurm-drmaa	1.1.3-slurm21.08.2	2022-01-31_16:03:35	848	1	1	1
/sw/libs	slurm-drmaa/1.1.3-slurm21.08.8	slurm-drmaa	1.1.3-slurm21.08.8	2022-05-10_09:51:17	749	1	1	1
/sw/libs	slurm-drmaa/1.1.4-slurm23.02.5	slurm-drmaa	1.1.4-slurm23.02.5	2023-10-06_15:14:08	235	1	1	1
/sw/libs	sparsehash/2.0.2	sparsehash	2.0.2	2018-09-25_13:32:24	2072	0	0	1
/sw/libs	sparsehash/2.0.3	sparsehash	2.0.3	2018-09-25_13:32:24	2072	0	0	1
/sw/libs	sparsehash/2.0.4	sparsehash	2.0.4	2022-03-30_15:22:09	790	1	1	1
/sw/libs	staden_io_lib/1.12.4	staden_io_lib	1.12.4	2010-09-27_16:33:49	4992	0	0	0
/sw/libs	SuiteSparse/5.8.1	SuiteSparse	5.8.1	2021-01-18_16:44:39	1226	0	1	1
/sw/libs	SuiteSparse/7.7.0	SuiteSparse	7.7.0	2024-04-08_13:39:53	50	1	1	1
/sw/libs	SuperLU/5.2.1	SuperLU	5.2.1	2021-08-18_18:14:52	1014	1	1	1
/sw/libs	SymEngine/0.7.0	SymEngine	0.7.0	2021-07-16_10:18:01	1047	1	1	1
/sw/libs	szip/2.1	szip	2.1	2023-02-03_11:33:17	480	1	1	1
/sw/libs	szip/2.1.1	szip	2.1.1	2023-02-03_11:33:29	480	1	1	1
/sw/libs	szip/2.1_gcc4.9.2	szip	2.1_gcc4.9.2	2023-02-03_11:33:17	480	1	1	1
/sw/libs	szip/2.1_gcc5.3.0	szip	2.1_gcc5.3.0	2023-02-03_11:34:28	480	1	1	1
/sw/libs	tbb/4.4u1_gcc4.9.2	tbb	4.4u1_gcc4.9.2	2015-11-22_20:37:51	3110	0	0	1
/sw/libs	tbb/4.4u1_intel15.3	tbb	4.4u1_intel15.3	2015-11-22_21:33:06	3110	0	0	1
/sw/libs	UDUNITS/2.2.26	UDUNITS	2.2.26	2018-09-25_14:28:12	2072	0	0	1
/sw/libs	utf8proc/2.5.0	utf8proc	2.5.0	2020-04-27_13:50:45	1492	0	1	1
/sw/libs	wxWidgets/2.9.4	wxWidgets	2.9.4	2019-12-09_15:59:33	1632	0	1	1
/sw/libs	wxWidgets/3.1.3-gtk2	wxWidgets	3.1.3-gtk2	2019-12-06_12:36:48	1635	0	1	1
/sw/libs	wxWidgets/3.1.3-gtk3	wxWidgets	3.1.3-gtk3	2019-12-06_11:12:24	1635	0	1	1
/sw/libs	wxWidgets/3.1.3-qt5	wxWidgets	3.1.3-qt5	2019-12-06_12:40:58	1635	0	1	1
/sw/libs	Yeppp/1.0.0	Yeppp	1.0.0	2018-09-25_14:28:12	2072	0	0	1
/sw/libs	zlib/1.2.11	zlib	1.2.11	2022-09-20_19:02:05	616	1	1	1
/sw/libs	zlib/1.2.12	zlib	1.2.12	2022-09-20_18:58:09	616	1	1	1
/sw/libs	zlib/1.2.13	zlib	1.2.13	2023-11-29_13:20:03	181	1	1	1
/sw/libs	zlib/1.2.8	zlib	1.2.8	2014-01-14_13:46:48	3787	0	0	0
/sw/libs	zlib/1.3	zlib	1.3	2023-11-29_13:28:56	181	1	1	1
/sw/libs	zstd/1.5.2	zstd	1.5.2	2022-09-19_14:50:19	617	1	1	1
