base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/apps	sqlite/3.24.0	sqlite	3.24.0	2023-05-28_22:04:20	366	1	1	1
/sw/apps	sqlite/3.34.0	sqlite	3.34.0	2023-05-28_22:03:26	366	1	1	1
/sw/apps	sqlite/3.45.0	sqlite	3.45.0	2024-05-15_12:54:30	13	1	1	1
/sw/apps	sqlite/3.8.5	sqlite	3.8.5	2018-09-25_13:46:11	2072	0	0	1
/sw/apps	STAR-CCM+/12.04.011	STAR-CCM+	12.04.011	2019-05-27_11:06:10	1828	0	0	1
/sw/apps	subversion/1.10.6	subversion	1.10.6	2020-04-28_09:55:14	1491	0	1	1
/sw/apps	subversion/1.9.3	subversion	1.9.3	2018-09-25_13:46:13	2072	0	0	1
/sw/apps	swig/3.0.12	swig	3.0.12	2023-09-25_17:17:36	246	1	1	1
/sw/apps	swig/3.0.7	swig	3.0.7	2023-09-25_17:17:44	246	1	1	1
/sw/apps	swig/4.1.1	swig	4.1.1	2023-09-25_12:33:52	246	1	1	1
/sw/apps	SymEngine/0.7.0	SymEngine	0.7.0	2021-07-13_05:59:39	1050	1	1	1
/sw/apps	synapseclient/2.3.1	synapseclient	2.3.1	2021-05-07_10:12:46	1117	0	1	1
/sw/apps	Tcl-Tk/8.6.11	Tcl-Tk	8.6.11	2024-02-05_13:45:26	113	1	1	1
/sw/apps	tesseract/4.1.3	tesseract	4.1.3	2022-01-19_14:30:18	860	1	1	1
/sw/apps	texinfo/6.0	texinfo	6.0	2024-04-25_14:58:08	33	1	1	1
/sw/apps	texinfo/6.5	texinfo	6.5	2024-04-25_14:58:31	33	1	1	1
/sw/apps	texinfo/6.6	texinfo	6.6	2024-04-25_14:58:42	33	1	1	1
/sw/apps	texinfo/6.8	texinfo	6.8	2024-04-25_14:58:47	33	1	1	1
/sw/apps	texinfo/7.1	texinfo	7.1	2024-04-25_14:30:18	33	1	1	1
/sw/apps	texlive/2015	texlive	2015	2021-08-31_14:11:58	1001	1	1	1
/sw/apps	texlive/2016	texlive	2016	2021-08-31_14:12:06	1001	1	1	1
/sw/apps	texlive/2018	texlive	2018	2022-03-22_17:45:00	798	1	1	1
/sw/apps	texlive/2019	texlive	2019	2022-03-22_17:44:53	798	1	1	1
/sw/apps	texlive/2021	texlive	2021	2022-03-22_17:44:44	798	1	1	1
/sw/apps	texlive/2022-09-18	texlive	2022-09-18	2022-09-19_14:19:08	617	1	1	1
/sw/apps	texlive/2023-08-14	texlive	2023-08-14	2023-08-15_12:28:04	287	1	1	1
/sw/apps	texlive/2024-04-24	texlive	2024-04-24	2024-04-25_11:20:04	33	1	1	1
/sw/apps	texlive/texmf-local	texlive	texmf-local	2017-08-31_16:29:16	2462	0	0	1
/sw/apps	tinyutils/1.1	tinyutils	1.1	2016-02-11_14:58:02	3029	0	0	1
/sw/apps	tinyutils/1.2	tinyutils	1.2	2016-03-29_12:08:11	2982	0	0	1
/sw/apps	tinyutils/1.3	tinyutils	1.3	2016-07-27_16:40:08	2862	0	0	1
/sw/apps	tinyutils/1.4	tinyutils	1.4	2018-09-25_13:48:01	2072	0	0	1
/sw/apps	TmoleX/18	TmoleX	18	2024-05-27_18:02:31	1	1	1	1
/sw/apps	tmux/1.9a	tmux	1.9a	2014-04-07_17:23:41	3704	0	0	0
/sw/apps	tmux/2.5	tmux	2.5	2017-08-22_17:03:24	2471	0	0	1
/sw/apps	tmux/3.1b	tmux	3.1b	2023-03-07_10:14:12	448	1	1	1
/sw/apps	tmux/3.3a	tmux	3.3a	2023-03-07_11:03:27	448	1	1	1
/sw/apps	tmux/libevent-2.0.21	tmux	libevent-2.0.21	2014-04-07_17:11:25	3704	0	0	0
/sw/apps	toolworks/flexlm-10.8.0-3	toolworks	flexlm-10.8.0-3	2009-11-19_18:56:11	5304	0	0	0
/sw/apps	toolworks/totalview	toolworks	totalview	2009-11-19_18:53:09	5304	0	0	0
